2023-11-29 14:08:49,264 INFO: 读取环境：duoybdb_prd，连接信息：主机ip：118.195.246.81,端口：27018,用户：admin,连接数据库：duoybdb_prd
2023-11-29 14:08:49,521 INFO: 数据库: duoybdb_prd初始化连接成功
2023-11-29 14:08:49,521 INFO: 开始爬取
2023-11-29 14:08:49,522 INFO: 获取1页列表
2023-11-29 14:09:02,462 INFO: 1数据入库
2023-11-29 14:09:03,214 INFO: 1数据入库
2023-11-29 14:09:03,933 INFO: 1数据入库
2023-11-29 14:09:04,978 INFO: 1数据入库
2023-11-29 14:09:49,729 INFO: 读取环境：duoybdb_prd，连接信息：主机ip：118.195.246.81,端口：27018,用户：admin,连接数据库：duoybdb_prd
2023-11-29 14:09:49,992 INFO: 数据库: duoybdb_prd初始化连接成功
2023-11-29 14:09:49,993 INFO: 开始爬取
2023-11-29 14:09:49,993 INFO: 获取1页列表
2023-11-29 14:10:42,096 INFO: 读取环境：duoybdb_prd，连接信息：主机ip：118.195.246.81,端口：27018,用户：admin,连接数据库：duoybdb_prd
2023-11-29 14:10:42,351 INFO: 数据库: duoybdb_prd初始化连接成功
2023-11-29 14:10:42,351 INFO: 开始爬取
2023-11-29 14:10:42,351 INFO: 获取1页列表
2023-11-29 14:12:55,278 INFO: 读取环境：duoybdb_prd，连接信息：主机ip：118.195.246.81,端口：27018,用户：admin,连接数据库：duoybdb_prd
2023-11-29 14:12:55,512 INFO: 数据库: duoybdb_prd初始化连接成功
2023-11-29 14:12:55,512 INFO: 开始爬取
2023-11-29 14:12:55,512 INFO: 获取1页列表
2023-11-29 14:13:08,009 INFO: 获取1页列表
2023-11-29 14:14:25,219 INFO: 读取环境：duoybdb_prd，连接信息：主机ip：118.195.246.81,端口：27018,用户：admin,连接数据库：duoybdb_prd
2023-11-29 14:14:25,455 INFO: 数据库: duoybdb_prd初始化连接成功
2023-11-29 14:14:25,455 INFO: 开始爬取
2023-11-29 14:14:25,456 INFO: 获取1页列表
2023-11-29 14:16:46,916 INFO: 读取环境：duoybdb_prd，连接信息：主机ip：118.195.246.81,端口：27018,用户：admin,连接数据库：duoybdb_prd
2023-11-29 14:16:47,175 INFO: 数据库: duoybdb_prd初始化连接成功
2023-11-29 14:16:47,176 INFO: 开始爬取
2023-11-29 14:16:47,176 INFO: 获取1页列表
2023-11-29 14:17:49,378 INFO: 读取环境：duoybdb_prd，连接信息：主机ip：118.195.246.81,端口：27018,用户：admin,连接数据库：duoybdb_prd
2023-11-29 14:17:49,621 INFO: 数据库: duoybdb_prd初始化连接成功
2023-11-29 14:17:49,621 INFO: 开始爬取
2023-11-29 14:17:49,621 INFO: 获取1页列表
2023-11-29 14:18:02,685 INFO: 1数据入库
2023-11-29 14:18:03,597 INFO: 1数据入库
2023-11-29 14:18:04,529 INFO: 1数据入库
2023-11-29 14:18:05,307 INFO: 1数据入库
2023-11-29 14:18:06,182 INFO: 1数据入库
2023-11-29 14:18:06,928 INFO: 1数据入库
2023-11-29 14:18:07,685 INFO: 1数据入库
2023-11-29 14:18:08,484 INFO: 1数据入库
2023-11-29 14:18:09,238 INFO: 1数据入库
2023-11-29 14:18:10,032 INFO: 1数据入库
2023-11-29 14:18:10,835 INFO: 1数据入库
2023-11-29 14:18:11,638 INFO: 1数据入库
2023-11-29 14:18:12,410 INFO: 1数据入库
2023-11-29 14:18:13,202 INFO: 1数据入库
2023-11-29 14:18:13,969 INFO: 1数据入库
2023-11-29 14:18:14,843 INFO: 1数据入库
2023-11-29 14:18:15,621 INFO: 1数据入库
2023-11-29 14:18:16,426 INFO: 1数据入库
2023-11-29 14:18:17,179 INFO: 1数据入库
2023-11-29 14:18:17,911 INFO: 1数据入库
2023-11-29 14:18:18,685 INFO: 1数据入库
2023-11-29 14:18:19,453 INFO: 1数据入库
2023-11-29 14:18:20,235 INFO: 1数据入库
2023-11-29 14:18:20,988 INFO: 1数据入库
2023-11-29 14:18:21,799 INFO: 1数据入库
2023-11-29 14:18:22,589 INFO: 1数据入库
